type,warp_execution_efficiency,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_sync,stall_pipe_busy,shared_efficiency,achieved_occupancy,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,dram_utilization,time
cudnn,1,0.82,0.75,0.1,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.55,0.26,0.1,0.16,0.22,0.77,0,0.49,361.6
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,267.09
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,985.53
cudnn,1,0.82,0.75,0.11,0.3,0.11,0.13,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,354.85
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,262.31
cublas,1,0.94,1,0.07,0.11,0.49,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,985.44
cudnn,1,0.82,0.75,0.08,0.32,0.11,0.14,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.78,0,0.49,355.69
trt,1,0.59,0.57,0.07,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,262.88
cublas,1,0.94,1,0.07,0.11,0.48,0.09,0.02,0.42,0.39,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.62,983.51
cudnn,1,0.82,0.75,0.07,0.32,0.11,0.13,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,352.46
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,260.29
cublas,1,0.94,1,0.06,0.11,0.49,0.09,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,979.51
cudnn,1,0.82,0.75,0.07,0.31,0.12,0.13,0.03,0.62,0.37,0.2,0.54,0.25,0.1,0.16,0.22,0.77,0,0.49,356.49
